log,mode,seed,final_accuracy,best_accuracy,best_epoch,final_physical_params,physical_reduction,hidden1_dim,hidden2_dim,concentration,compacted
logs/multiseed/dense_seed1.csv,dense,1,0.9783,0.9798,17,268800,0.00%,256,256,0.0737,0
logs/multiseed/dense_seed2.csv,dense,2,0.9782,0.9815,18,268800,0.00%,256,256,0.0714,0
logs/multiseed/dense_seed3.csv,dense,3,0.9786,0.9807,15,268800,0.00%,256,256,0.0751,0
logs/multiseed/magnitude_seed1.csv,magnitude,1,0.9763,0.9808,13,106587,60.35%,117,117,0.0622,1
logs/multiseed/magnitude_seed2.csv,magnitude,2,0.9781,0.9781,20,106587,60.35%,117,117,0.0614,1
logs/multiseed/magnitude_seed3.csv,magnitude,3,0.9800,0.9801,11,106587,60.35%,117,117,0.0612,1
logs/multiseed/random_seed1.csv,random,1,0.9723,0.9748,12,106587,60.35%,117,117,0.0769,1
logs/multiseed/random_seed2.csv,random,2,0.9710,0.9741,7,106587,60.35%,117,117,0.0740,1
logs/multiseed/random_seed3.csv,random,3,0.9484,0.9762,10,106587,60.35%,117,117,0.0835,1
logs/multiseed/sage_seed1.csv,sage,1,0.9803,0.9803,20,106587,60.35%,117,117,0.0628,1
logs/multiseed/sage_seed2.csv,sage,2,0.9782,0.9788,16,106587,60.35%,117,117,0.0620,1
logs/multiseed/sage_seed3.csv,sage,3,0.9777,0.9809,18,106587,60.35%,117,117,0.0617,1
